date,trip_year,trip_month,trip_day,weekday,n_trips,n_csl_trips,prop_lobster,all_all,csl_all,all_hook_and_line,all_spear_or_hand,all_nets,all_traps,all_unknown,all_diving,all_combined_gears,csl_spear_or_hand,csl_traps,csl_nets,csl_hook_and_line,csl_unknown,csl_diving,csl_combined_gears,year,is_sunday
1985-06-20,1985,6,20,Thursday,10,0,0,437,0,210,0,30,185,0,12,0,0,0,0,0,0,0,0,1985,0
1985-06-21,1985,6,21,Friday,21,0,0,1443,0,360,48,0,950,0,85,0,0,0,0,0,0,0,0,1985,0
1985-06-22,1985,6,22,Saturday,29,0,0,1264,0,224,35,0,975,0,30,0,0,0,0,0,0,0,0,1985,0
1985-06-23,1985,6,23,Sunday,15,0,0,616,0,191,0,20,330,0,75,0,0,0,0,0,0,0,0,1985,1
1985-06-24,1985,6,24,Monday,13,0,0,436,0,166,36,114,95,0,25,0,0,0,0,0,0,0,0,1985,0
1985-06-25,1985,6,25,Tuesday,18,0,0,1387,0,146,35,0,1080,0,126,0,0,0,0,0,0,0,0,1985,0
1985-06-26,1985,6,26,Wednesday,10,0,0,438,0,60,0,21,357,0,0,0,0,0,0,0,0,0,0,1985,0
1985-06-27,1985,6,27,Thursday,10,0,0,394,0,66,0,0,268,0,60,0,0,0,0,0,0,0,0,1985,0
1985-06-28,1985,6,28,Friday,6,0,0,283,0,197,0,0,86,0,0,0,0,0,0,0,0,0,0,1985,0
1985-06-29,1985,6,29,Saturday,16,0,0,1044,0,121,0,0,813,0,110,0,0,0,0,0,0,0,0,1985,0
1985-06-30,1985,6,30,Sunday,11,0,0,539,0,149,0,20,355,0,15,0,0,0,0,0,0,0,0,1985,1
1985-07-01,1985,7,1,Monday,3,0,0,279,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,1985,0
1985-07-02,NA,NA,NA,Tuesday,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,0
1985-07-03,NA,NA,NA,Wednesday,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,0
1985-07-04,NA,NA,NA,Thursday,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,0
1985-07-05,NA,NA,NA,Friday,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,0
1985-07-06,NA,NA,NA,Saturday,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,0
